event_id;event_name
\mod_data\event\template_viewed;Шаблоны просмотрены
\mod_feedback\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_feedback\event\course_module_viewed;Модуль курса просмотрен
\mod_feedback\event\response_deleted;Ответ удален
\mod_feedback\event\response_submitted;Ответ представлен
\mod_folder\event\all_files_downloaded;Zip-архив или папка скачаны
\mod_folder\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_folder\event\course_module_viewed;Модуль курса просмотрен
\mod_folder\event\folder_updated;Папка обновлена
\mod_forum\event\assessable_uploaded;Опубликована некоторая информация.
\mod_forum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_forum\event\course_module_viewed;Модуль курса просмотрен
\mod_forum\event\course_searched;Осуществлен поиск курса
\mod_forum\event\discussion_created;Тема создана
\mod_forum\event\discussion_deleted;Тема удалена
\mod_forum\event\discussion_moved;Тема перемещена
\mod_forum\event\discussion_pinned;Обсуждение закреплено
\mod_forum\event\discussion_subscription_created;Подписка на тему создана
\mod_forum\event\discussion_subscription_deleted;Подписка на тему удалена
\mod_forum\event\discussion_unpinned;Обсуждение откреплено
\mod_forum\event\discussion_updated;Тема обновлена
\mod_forum\event\discussion_viewed;Тема просмотрена
\mod_forum\event\post_created;Сообщение создано
\mod_forum\event\post_deleted;Сообщение удалено
\mod_forum\event\post_updated;Сообщение обновлено
\mod_forum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_forum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_forum\event\subscribers_viewed;Список подписчиков просмотрен
\mod_forum\event\subscription_created;Подписка создана
\mod_forum\event\subscription_deleted;Подписка удалена
\mod_forum\event\user_report_viewed;Отчет по пользователю просмотрен
\mod_glossary\event\category_created;Категория создана
\mod_glossary\event\category_deleted;Категория удалена
\mod_glossary\event\category_updated;Категория обновлена
\mod_glossary\event\comment_created;Комментарий создан
\mod_glossary\event\comment_deleted;Комментарий удален
\mod_glossary\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_glossary\event\course_module_viewed;Модуль курса просмотрен
\mod_glossary\event\entry_approved;Запись одобрена
\mod_glossary\event\entry_created;Запись создана
\mod_glossary\event\entry_deleted;Запись удалена
\mod_glossary\event\entry_disapproved;Запись не одобрена
\mod_glossary\event\entry_updated;Запись обновлена
\mod_glossary\event\entry_viewed;Запись просмотрена
\mod_h5pactivity\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_h5pactivity\event\course_module_viewed;Модуль курса просмотрен
\mod_h5pactivity\event\report_viewed;Отчет просмотрен
\mod_h5pactivity\event\statement_received;xAPI получено
\mod_hsuforum\event\assessable_uploaded;Содержимое было размещено
\mod_hsuforum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_hsuforum\event\course_module_viewed;Модуль курса просмотрен
\mod_hsuforum\event\course_searched;Поиск курса
\mod_hsuforum\event\discussion_created;Тема создана
\mod_hsuforum\event\discussion_deleted;Тема удалена
\mod_hsuforum\event\discussion_moved;Тема перемещена
\mod_hsuforum\event\discussion_pinned;Обсуждение закреплено
\mod_hsuforum\event\discussion_subscription_created;[[eventdiscussionsubscriptioncreated]]
\mod_hsuforum\event\discussion_subscription_deleted;[[eventdiscussionsubscriptiondeleted]]
\mod_hsuforum\event\discussion_unpinned;Обсуждение откреплено
\mod_hsuforum\event\discussion_updated;Тема обновлена
\mod_hsuforum\event\discussion_viewed;Тема просмотрена
\mod_hsuforum\event\post_created;Сообщение создано
\mod_hsuforum\event\post_deleted;Сообщение удалено
\mod_hsuforum\event\post_updated;Сообщение обновлено
\mod_hsuforum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_hsuforum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_hsuforum\event\subscribers_viewed;Просмотр подписчиков
\mod_hsuforum\event\subscription_created;Подписка создана
\mod_hsuforum\event\subscription_deleted;Подписка удалена
\mod_hsuforum\event\user_report_viewed;Просмотр отчета пользователя
\mod_iforum\event\assessable_uploaded;Содержимое было размещено
\mod_iforum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_iforum\event\course_module_viewed;Модуль курса просмотрен
\mod_iforum\event\course_searched;Поиск курса
\mod_iforum\event\discussion_created;Тема создана
\mod_iforum\event\discussion_deleted;Тема удалена
\mod_iforum\event\discussion_moved;Тема перемещена
\mod_iforum\event\discussion_pinned;Обсуждение закреплено
\mod_iforum\event\discussion_subscription_created;[[eventdiscussionsubscriptioncreated]]
\mod_iforum\event\discussion_subscription_deleted;[[eventdiscussionsubscriptiondeleted]]
\mod_iforum\event\discussion_unpinned;Обсуждение откреплено
\mod_iforum\event\discussion_updated;Тема обновлена
\mod_iforum\event\discussion_viewed;Тема просмотрена
\mod_iforum\event\post_created;Сообщение создано
\mod_iforum\event\post_deleted;Сообщение удалено
\mod_iforum\event\post_updated;Сообщение обновлено
\mod_iforum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_iforum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_iforum\event\subscribers_viewed;Просмотр подписчиков
\mod_iforum\event\subscription_created;Подписка создана
\mod_iforum\event\subscription_deleted;Подписка удалена
\mod_iforum\event\user_report_viewed;Просмотр отчета пользователя
\mod_imscp\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_imscp\event\course_module_viewed;Модуль курса просмотрен
\mod_itstest\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_itstest\event\course_module_viewed;Модуль курса просмотрен
\mod_lesson\event\content_page_viewed;Содержимое страницы просмотрено
\mod_lesson\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_lesson\event\course_module_viewed;Модуль курса просмотрен
\mod_lesson\event\essay_assessed;Эссе оценено
\mod_lesson\event\essay_attempt_viewed;Ответ на задание типа «Эссе» просмотрен
\mod_lesson\event\group_override_created;Переопределение лекции создано
\mod_lesson\event\group_override_deleted;Переопределение лекции удалено
\mod_lesson\event\group_override_updated;Переопределение лекции обновлено
\mod_lesson\event\highscore_added;[[eventhighscoreadded]]
\mod_lesson\event\highscores_viewed;[[eventhighscoresviewed]]
\mod_lesson\event\lesson_ended;Лекция закончена
\mod_lesson\event\lesson_restarted;Лекция начата заново
\mod_lesson\event\lesson_resumed;Лекция продолжена
\mod_lesson\event\lesson_started;Лекция начата
\mod_lesson\event\page_created;Страница создана
\mod_lesson\event\page_deleted;Страница удалена
\mod_lesson\event\page_moved;Страница перемещена
\mod_lesson\event\page_updated;Страница обновлена
\mod_lesson\event\question_answered;Дан ответ на вопрос
\mod_lesson\event\question_viewed;Вопрос просмотрен
\mod_lesson\event\user_override_created;Переопределение лекции создано
\mod_lesson\event\user_override_deleted;Переопределение лекции удалено
\mod_lesson\event\user_override_updated;Переопределение лекции обновлено
\mod_lti\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_lti\event\course_module_viewed;Модуль курса просмотрен
\mod_lti\event\unknown_service_api_called;Вызов API неизвестного сервиса LTI.
\mod_page\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_page\event\course_module_viewed;Модуль курса просмотрен
\mod_questionnaire\event\all_responses_deleted;Все ответы удалены
\mod_questionnaire\event\all_responses_saved_as_text;Все ответы сохранены в виде текста
\mod_questionnaire\event\all_responses_viewed;Просмотрен отчет «Все ответы»
\mod_questionnaire\event\attempt_resumed;Попытка возобновлена
\mod_questionnaire\event\attempt_saved;Ответы сохранены
\mod_questionnaire\event\attempt_submitted;Ответы сданы
\mod_questionnaire\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
